trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.50748367712996434, 'e': 0.30240443566902153}",20,10,-23.557584345507227,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.50849966012856196, 'e': 0.2993803913123313}",25,0,-18.702040894567176,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.509517677126478, 'e': 0.296386587399208}",30,12,-19.201119590724275,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.51053773219578191, 'e': 0.2934227215252159}",25,19,-0.8590835967524086,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.51155982941669531, 'e': 0.29048849430996376}",20,9,17.28947826616053,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.51258397287760848, 'e': 0.2875836093668641}",20,0,-4.234577944491985,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
125,False,"{'a': 0.51361016667509662, 'e': 0.28470777327319546}",20,0,13.309960586656006,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.51463841491393625, 'e': 0.2818606955404635}",20,0,13.159941082031466,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.51566872170712175, 'e': 0.27904208858505886}",20,12,13.093735558834073,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5167010911758817, 'e': 0.2762516676992083}",20,0,22.97689369014103,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.51773552744969509, 'e': 0.2734891510222162}",20,0,0.04006704108229897,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.51877203466630872, 'e': 0.27075425951199406}",20,5,6.94866462548787,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.51981061697175279, 'e': 0.2680467169168741}",35,0,32.01594436563179,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.52085127852035773, 'e': 0.26536624974770534}",20,12,12.782774548485367,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.52189402347477121, 'e': 0.2627125872502283}",20,7,23.491209556368936,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.52293885600597445, 'e': 0.26008546137772603}",20,0,27.64588712346868,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.5239857802932989, 'e': 0.25748460676394874}",20,12,5.260290298123419,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.52503480052444329, 'e': 0.2549097606963093}",25,6,-29.640628404766453,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.52608592089548978, 'e': 0.2523606630893462}",20,6,17.38793725589708,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.52713914561092134, 'e': 0.2498370564584527}",20,0,-1.997399093549662,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.52819447888363813, 'e': 0.24733868589386818}",25,11,-26.198460313615833,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.52925192493497475, 'e': 0.24486529903492948}",20,0,15.113689835785328,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.53031148799471683, 'e': 0.2424166460445802}",20,10,3.7730552599496043,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.53137317230111791, 'e': 0.2399924795841344}",25,0,-41.89473559494814,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
143,False,"{'a': 0.53243698210091672, 'e': 0.23759255478829303}",35,6,8.840339121930763,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.53350292164935387, 'e': 0.23521662924041012}",25,0,6.41166471262135,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.5345709952101888, 'e': 0.232864462948006}",20,6,15.372585932885544,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.53564120705571749, 'e': 0.23053581831852593}",30,8,-3.316522450519641,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.53671356146678861, 'e': 0.22823046013534068}",30,16,24.44588619568742,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
